country_id,country,iso_codes,2003_vanilla_gdp_per_capita,2003_nominal_gdp_per_capita_2022_usd,2003_ppp_gdp_per_capita_2022_intl_dollars,2022_vanilla_gdp_per_capita,2022_nominal_gdp_per_capita_2022_usd,2022_ppp_gdp_per_capita_2022_intl_dollars,2026_vanilla_gdp_per_capita,2026_nominal_gdp_per_capita_2022_usd,2026_ppp_gdp_per_capita_2022_intl_dollars,quality_flags,imf_source_url
LEB,Lebanon,LBN,11340,6630,18732,10864,4677,12247,8200,,,"2026: pop=missing, nominal=missing, ppp=missing",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
LES,Lesotho,LSO,1420,970,2347,2586,995,2790,2374,1104,2936,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
CAB,Lesser Antilles States,TTO+BRB+LCA,14220,14380,24583,22263,19956,29561,35031,17676,30981,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
LBR,Liberia,LBR,878,355,1468,1445,740,1689,1493,857,1864,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
LBY,Libya,LBY,16337,7371,26929,15483,5991,12221,12590,6193,16678,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
LTU,Lithuania,LTU,12746,8437,20744,43000,24963,50568,45280,32507,54307,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MDG,Madagascar,MDG,1051,593,1902,1541,530,1804,1467,583,1873,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MAL,Malawi,MWI,723,529,1108,1531,567,1655,1437,652,1598,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MYS,Malaysia,MYS,12411,7265,19941,28785,12490,36568,31102,13419,41795,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MLD,Maldives,MDV,10798,5657,18562,18567,15782,30680,21649,17313,33647,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MLI,Mali,MLI,1361,667,2696,2554,982,3021,2147,1157,3260,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MRT,Mauritania,MRT,3182,1091,5100,5341,2207,7294,5616,2698,8255,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MRS,Mauritius,MUS,9582,7775,16169,21892,10317,26794,25026,12286,31767,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PCS,Melanesian States,FJI+SLB+VUT,4516,3376,7705,6725,3829,7452,6763,4081,8373,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MEX,Mexico,MEX,13272,11327,21747,19276,11288,22948,19785,14036,23699,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MCS,Micronesian States,FSM+KIR,2410,2664,3067,3375,3149,3658,4054,3631,3909,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MOL,Moldova,MDA,3069,1043,7128,9323,5662,16217,11987,8321,18831,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MNG,Mongolia,MNG,3665,980,6107,12039,4959,16286,15773,6985,19740,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MNE,Montenegro,MNE,8972,4202,15299,21690,10046,27907,26051,14568,32319,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MAR,Morocco,MAR,4025,2925,6646,7571,3579,9620,8392,4543,10973,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MOZ,Mozambique,MOZ,530,522,876,1255,573,1567,1295,562,1512,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MMR,Myanmar,MMR,1106,288,1981,4091,1254,4806,4535,1351,4728,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SWA,Namibia,NAM,5521,4001,9160,9010,4407,10804,9160,4957,11267,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
HYS,Nepal,NPL,1546,431,2549,4000,1386,5102,4668,1377,5827,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
NET,Netherlands,NLD,33204,55114,56974,60201,59541,77717,61702,71088,78076,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
